trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
62,GBPJPY,BUY,2026-03-02 16:10:00+00:00,211.048,210.71217113285576,211.4509946405731,211.65249196085963,210.71217113285576,0.3358288671442417,0.40299464057309003,0.604491960859635,0.23,0.12,0.11,False,False,False,5754.57,2026-03-02 21:05:00+00:00,210.923,EOD_CLOSE,295.0,-9.77,-8.96,1.15,-19.88,5734.69
63,GBPJPY,SELL,2026-03-03 10:10:00+00:00,209.592,209.86235333472746,209.26757599832706,209.1053639974906,209.86235333472746,0.27035333472745643,0.3244240016729477,0.4866360025094215,0.28,0.14,0.14,False,False,False,5734.69,2026-03-03 10:45:00+00:00,209.86235333472746,SL,35.0,0.0,0.0,1.4,-51.4,5683.29
64,GBPJPY,SELL,2026-03-03 10:55:00+00:00,209.599,209.86935333472744,209.27457599832704,209.11236399749058,209.86935333472744,0.27035333472745643,0.3244240016729477,0.4866360025094215,0.28,0.14,0.14,False,False,False,5683.29,2026-03-03 11:20:00+00:00,209.86935333472744,SL,25.0,0.0,0.0,1.4,-51.4,5631.89
65,GBPJPY,SELL,2026-03-03 12:55:00+00:00,209.886,210.17690670188233,209.53691195774118,209.36236793661178,209.886,0.2909067018823472,0.3490880422588166,0.5236320633882249,0.26,0.13,0.13,True,False,False,5631.89,2026-03-03 14:00:00+00:00,209.36236793661178,FULL_TP2,65.0,29.57,44.35,1.3,72.62,5704.5
66,GBPJPY,SELL,2026-03-04 07:55:00+00:00,209.947,210.25728869240675,209.57465356911192,209.38848035366786,210.25728869240675,0.3102886924067391,0.37234643088808694,0.5585196463321304,0.25,0.12,0.13,False,False,False,5704.5,2026-03-04 08:15:00+00:00,210.25728869240675,SL,20.0,0.0,0.0,1.25,-51.25,5653.25
67,GBPJPY,SELL,2026-03-04 17:50:00+00:00,209.752,210.0621569434217,209.37981166789396,209.19371750184092,210.0621569434217,0.3101569434217162,0.3721883321060594,0.558282498159089,0.25,0.12,0.13,False,False,False,5653.25,2026-03-04 19:20:00+00:00,210.0621569434217,SL,90.0,0.0,0.0,1.25,-51.25,5602.0
68,GBPJPY,SELL,2026-03-05 07:40:00+00:00,209.44,209.69965416696863,209.12841499963764,208.9726224994565,209.69965416696863,0.25965416696861854,0.3115850003623422,0.46737750054351335,0.3,0.15,0.15,False,False,False,5602.0,2026-03-05 08:05:00+00:00,209.69965416696863,SL,25.0,0.0,0.0,1.5,-51.5,5550.5
69,GBPJPY,BUY,2026-03-05 16:30:00+00:00,210.036,209.7736602286606,210.3508077256073,210.50821158841094,210.036,0.2623397713394166,0.3148077256072999,0.47221158841094985,0.29,0.14,0.15,True,False,False,5550.5,2026-03-05 21:05:00+00:00,210.291,EOD_CLOSE,275.0,28.71,24.92,1.45,52.18,5602.69
70,GBPJPY,BUY,2026-03-06 07:50:00+00:00,210.728,210.51944429584768,210.9782668449828,211.10340026747423,210.51944429584768,0.20855570415234023,0.25026684498280827,0.3754002674742124,0.37,0.18,0.19,False,False,False,5602.69,2026-03-06 08:25:00+00:00,210.51944429584768,SL,35.0,0.0,0.0,1.85,-51.85,5550.84
71,GBPJPY,BUY,2026-03-09 08:20:00+00:00,211.322,211.0416909188878,211.6583708973346,211.82655634600192,211.322,0.2803090811121802,0.3363708973346163,0.5045563460019243,0.27,0.14,0.13,True,False,False,5550.84,2026-03-09 13:50:00+00:00,211.82655634600192,FULL_TP2,330.0,30.68,42.73,1.35,72.06,5622.9
72,GBPJPY,BUY,2026-03-09 15:05:00+00:00,211.791,211.51844931948168,212.118060816622,212.281591224933,211.791,0.2725506805183337,0.3270608166220004,0.4905912249330006,0.28,0.14,0.14,True,False,False,5622.9,2026-03-09 19:35:00+00:00,211.791,TP1_THEN_BE,270.0,29.83,0.0,1.4,28.43,5651.33
73,GBPJPY,BUY,2026-03-10 12:15:00+00:00,212.25,212.05703868954447,212.48155357254663,212.59733035881996,212.05703868954447,0.19296131045552645,0.23155357254663173,0.34733035881994756,0.4,0.2,0.2,False,False,False,5651.33,2026-03-10 15:00:00+00:00,212.05703868954447,SL,165.0,0.0,0.0,2.0,-52.0,5599.33
74,GBPJPY,BUY,2026-03-10 17:30:00+00:00,212.155,211.96354583982313,212.38474499221223,212.49961748831836,211.96354583982313,0.19145416017686778,0.22974499221224132,0.344617488318362,0.4,0.2,0.2,False,False,False,5599.33,2026-03-10 21:05:00+00:00,212.044,EOD_CLOSE,215.0,-14.46,-14.46,2.0,-30.93,5568.41
75,GBPJPY,BUY,2026-03-11 07:55:00+00:00,212.673,212.4948576792225,212.88677078493302,212.99365617739952,212.4948576792225,0.17814232077750938,0.21377078493301124,0.32065617739951685,0.43,0.21,0.22,False,False,False,5568.41,2026-03-11 08:00:00+00:00,212.4948576792225,SL,5.0,0.0,0.0,2.15,-52.15,5516.26
76,GBPJPY,BUY,2026-03-11 15:30:00+00:00,212.954,212.73638967914474,213.21513238502632,213.34569857753948,212.954,0.21761032085526458,0.26113238502631747,0.3916985775394762,0.35,0.17,0.18,True,False,False,5516.26,2026-03-11 21:05:00+00:00,213.038,EOD_CLOSE,335.0,28.92,9.85,1.75,37.02,5553.28
77,GBPJPY,SELL,2026-03-12 06:50:00+00:00,212.574,212.7431356884306,212.3710371738833,212.26955576082494,212.7431356884306,0.16913568843058632,0.20296282611670358,0.30444423917505536,0.45,0.23,0.22,False,False,False,5553.28,2026-03-12 16:30:00+00:00,212.7431356884306,SL,580.0,0.0,0.0,2.25,-52.25,5501.03
78,GBPJPY,SELL,2026-03-13 12:40:00+00:00,211.347,211.5723347270534,211.07659832753592,210.9413974913039,211.347,0.22533472705340338,0.27040167246408403,0.405602508696126,0.34,0.17,0.17,True,False,False,5501.03,2026-03-15 20:00:00+00:00,211.347,TP1_THEN_BE,3320.0,29.95,0.0,1.7,28.25,5529.28
79,GBPJPY,BUY,2026-03-17 06:30:00+00:00,211.957,211.80091022771896,212.14430772673722,212.23796159010584,211.80091022771896,0.15608977228103293,0.18730772673723953,0.28096159010585925,0.49,0.24,0.25,False,False,False,5529.28,2026-03-17 07:00:00+00:00,211.80091022771896,SL,30.0,0.0,0.0,2.45,-52.45,5476.83
80,GBPJPY,BUY,2026-03-17 07:35:00+00:00,211.919,211.75891664002478,212.1111000319703,212.20715004795545,211.919,0.16008335997524412,0.19210003197029293,0.28815004795543936,0.48,0.24,0.24,True,False,False,5476.83,2026-03-17 08:35:00+00:00,212.20715004795545,FULL_TP2,60.0,30.04,45.06,2.4,72.69,5549.52
81,GBPJPY,BUY,2026-03-17 11:50:00+00:00,212.053,211.8730937306265,212.26888752324822,212.37683128487234,212.053,0.17990626937351528,0.21588752324821833,0.3238312848723275,0.43,0.21,0.22,True,False,False,5549.52,2026-03-17 17:00:00+00:00,212.37683128487234,FULL_TP2,310.0,29.54,46.41,2.15,73.8,5623.32
82,GBPJPY,SELL,2026-03-19 10:20:00+00:00,211.208,211.4372862063479,210.93285655238253,210.7952848285738,211.4372862063479,0.2292862063478871,0.2751434476174645,0.41271517142619674,0.33,0.17,0.16,False,False,False,5623.32,2026-03-19 11:00:00+00:00,211.4372862063479,SL,40.0,0.0,0.0,1.65,-51.65,5571.67
83,GBPJPY,SELL,2026-03-19 12:00:00+00:00,211.289,211.52574984118772,211.00490019057472,210.8628502858621,211.52574984118772,0.23674984118772102,0.2840998094252652,0.4261497141378978,0.32,0.16,0.16,False,False,False,5571.67,2026-03-19 12:30:00+00:00,210.8628502858621,FULL_TP2,30.0,29.61,44.42,1.6,72.44,5644.11
84,GBPJPY,SELL,2026-03-19 15:00:00+00:00,211.336,211.6235260208052,210.9909687750338,210.8184531625507,211.6235260208052,0.28752602080518325,0.3450312249662199,0.5175468374493298,0.27,0.14,0.13,False,False,False,5644.11,2026-03-19 17:10:00+00:00,211.6235260208052,SL,130.0,0.0,0.0,1.35,-51.35,5592.76
85,GBPJPY,BUY,2026-03-20 11:00:00+00:00,212.487,212.28161264318052,212.73346482818334,212.85669724227503,212.28161264318052,0.2053873568194623,0.24646482818335474,0.3696972422750321,0.37,0.18,0.19,False,False,False,5592.76,2026-03-20 12:00:00+00:00,212.28161264318052,SL,60.0,0.0,0.0,1.85,-51.85,5540.91
86,GBPJPY,BUY,2026-03-20 18:50:00+00:00,212.44,212.20204758618618,212.72554289657657,212.86831434486484,212.20204758618618,0.23795241381380255,0.28554289657656307,0.42831434486484454,0.32,0.16,0.16,False,False,False,5540.91,2026-03-22 20:00:00+00:00,212.20204758618618,SL,2950.0,0.0,0.0,1.6,-51.6,5489.31
